Grupė,Numeris,Pavadinimas,Kategorija,Sub-kategorija,Sub-sub-kategorija,sub-sub-sub-kategorijos
P433,4302215,Klij≈≥ strypeliai pistoletui 11x100 mm 8 vnt. auksiniai blizg≈´s HR17696,Remonto darbams,"Klijai, montavimo putos, silikonai ",Klijų strypeliai,
P433,4302249,Klij≈≥ strypeliai pistoletui 11x100 mm 8 vnt. spalvoti blizg≈´s HR17704,Remonto darbams,"Klijai, montavimo putos, silikonai ",Klijų strypeliai,
P433,4302710,Klij≈≥ strypeliai pistoletui 11x150 mm 12 vnt. skaidr≈´s 73271 STHOR,Remonto darbams,"Klijai, montavimo putos, silikonai ",Klijų strypeliai,
P433,4302189,Klij≈≥ strypeliai pistoletui 11x180 mm 5 vnt. spalvoti blizg≈´s HR17694,Remonto darbams,"Klijai, montavimo putos, silikonai ",Klijų strypeliai,
P433,4302103,Klij≈≥ strypeliai pistoletui 11x180 mm 5 vnt. ≈æali,Remonto darbams,"Klijai, montavimo putos, silikonai ",Klijų strypeliai,
P433,4302245,Klij≈≥ strypeliai pistoletui 11x180 mm 5 vnt. ≈æali blizg≈´s HR17698  stb,Remonto darbams,"Klijai, montavimo putos, silikonai ",Klijų strypeliai,
P433,4302174,Klij≈≥ strypeliai pistoletui 11x190 mm 10 vnt. skaidr≈´s HR17693,Remonto darbams,"Klijai, montavimo putos, silikonai ",Klijų strypeliai,
P433,4302256,Klij≈≥ strypeliai pistoletui 11x200 mm  5 vnt. balti YT-82438 YATO,Remonto darbams,"Klijai, montavimo putos, silikonai ",Klijų strypeliai,
P433,4302255,Klij≈≥ strypeliai pistoletui 11x200 mm  5 vnt. geltoni YT-82437 YATO  spec,Remonto darbams,"Klijai, montavimo putos, silikonai ",Klijų strypeliai,
P433,4302251,Klij≈≥ strypeliai pistoletui 11x200 mm  5 vnt. juodi YT-82433 YATO,Remonto darbams,"Klijai, montavimo putos, silikonai ",Klijų strypeliai,
P433,4302253,Klij≈≥ strypeliai pistoletui 11x200 mm  5 vnt. mƒólyni YT-82435 YATO  lstb,Remonto darbams,"Klijai, montavimo putos, silikonai ",Klijų strypeliai,
